#  T(K)  <E>    <|M|>     Szi    C(Sz)    Sxi    C(Sx)   Z1X2    X1Z2    Bell
#  ---  ------  -----    -----   -----   -----   -----   -----  ------   -----
  3.54  -0.334   0.001  -0.000   0.006   0.321   0.001  -0.007   0.019   0.115  
  3.54  -0.320   0.001  -0.002   0.002   0.326   0.001  -0.071  -0.065   0.208  
  3.53  -0.321   0.000  -0.001   0.001   0.329   0.001  -0.046  -0.007   0.174  
  3.53  -0.336   0.000  -0.002   0.004   0.328   0.000  -0.052   0.026   0.182  
  3.52  -0.332   0.003   0.001   0.003   0.331   0.001   0.020   0.007   0.083  
  3.52  -0.341   0.002   0.001   0.005   0.326   0.001   0.046   0.052   0.043  
  3.51  -0.347   0.001   0.001   0.004   0.326   0.001   0.033   0.065   0.063  
  3.51  -0.335   0.002   0.002   0.002   0.333   0.001   0.059   0.040   0.027  
  3.50  -0.340   0.000  -0.003   0.003   0.329   0.001  -0.106   0.020   0.259  
  3.50  -0.323   0.001  -0.002   0.004   0.333   0.001  -0.072   0.040   0.213  
  3.49  -0.341   0.002  -0.003   0.002   0.327   0.001  -0.087   0.000   0.233  
