#   n   1/n    <E>    <|M|>     Szi    C(Sz)    Sxi    C(Sx)   Z1X2    X1Z2    Bell
#  ---  ----  ------  -----    -----   -----   -----   -----   -----  ------   -----
  211    0.005  -0.220   0.006   0.000   0.001   0.211   0.000   0.003   0.021   0.041
  212    0.005  -0.212   0.006   0.001   0.002   0.216   0.000   0.024  -0.002   0.012
  213    0.005  -0.214   0.006   0.000   0.001   0.215   0.000   0.011   0.015   0.030
  214    0.005  -0.217   0.006   0.000   0.001   0.215   0.000   0.000   0.004   0.046
  215    0.005  -0.224   0.006  -0.000   0.001   0.213   0.000  -0.005   0.005   0.053
  216    0.005  -0.210   0.006  -0.000   0.001   0.214   0.000  -0.022   0.036   0.078
  217    0.005  -0.221   0.007  -0.001   0.001   0.212   0.000  -0.051  -0.019   0.117
  218    0.005  -0.221   0.006   0.000   0.001   0.215  -0.000   0.004  -0.004   0.040
  219    0.005  -0.217   0.006   0.001   0.001   0.214   0.000   0.030  -0.017   0.003
  220    0.005  -0.210   0.006  -0.000   0.001   0.213   0.000  -0.019   0.000   0.072
  221    0.005  -0.216   0.006  -0.000   0.001   0.215   0.000  -0.018  -0.024   0.072
  222    0.005  -0.218   0.006  -0.000   0.001   0.215   0.000  -0.014   0.027   0.065
  223    0.004  -0.213   0.006   0.000   0.001   0.212   0.000   0.003   0.001   0.042
  224    0.004  -0.211   0.006  -0.000   0.001   0.214   0.000  -0.013   0.010   0.065
  225    0.004  -0.211   0.006  -0.000   0.001   0.214   0.000  -0.007   0.009   0.055
  226    0.004  -0.213   0.006   0.001   0.001   0.214   0.000   0.026  -0.004   0.008
  227    0.004  -0.219   0.006   0.000   0.001   0.214   0.000   0.005   0.005   0.040
  228    0.004  -0.208   0.006   0.001   0.001   0.214   0.000   0.026   0.017   0.009
  229    0.004  -0.211   0.006   0.000   0.001   0.216   0.000   0.001  -0.008   0.045
  230    0.004  -0.215   0.006   0.000   0.001   0.213   0.000   0.018   0.015   0.019
  231    0.004  -0.215   0.006  -0.000   0.001   0.214   0.000  -0.012   0.032   0.063
  232    0.004  -0.217   0.006  -0.000   0.001   0.214   0.000  -0.011  -0.028   0.062
  233    0.004  -0.220   0.006  -0.000   0.001   0.213   0.000  -0.017  -0.036   0.070
  234    0.004  -0.222   0.006  -0.000   0.001   0.212   0.000  -0.007   0.013   0.056
  235    0.004  -0.212   0.006   0.001   0.001   0.215   0.000   0.041   0.061  -0.012
  236    0.004  -0.222   0.006   0.000   0.001   0.215   0.000   0.009   0.011   0.033
  237    0.004  -0.220   0.006  -0.000   0.001   0.215   0.000  -0.021   0.010   0.075
